id,hospital_name,sido,sggu,emdong,address,longitude,latitude
9yil8s,스페이드의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로2길 21, 3층 (역삼동)",127.0294026,37.4968451
a3idy3,슬림에디션의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 101, 이즈타워 7층 (역삼동)",127.0280297,37.4986211
c7rm6j,시그니처성형외과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 122, 에메랄드타워 2층 (논현동)",127.0221405,37.516854
8y6rh0,시그니처피부과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 139-1, 4층 (역삼동, 한중앙빌딩)",127.0344714,37.5004396
5hhiwf,시너지성형외과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 107, BIO 1층,5층 (신사동)",127.0201484,37.5168631
d7yxw1,시네마의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 528, 3층 (논현동)",127.0226432,37.5092956
tbrwr9,시아의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 488, 센트럴스퀘어강남 4,5층 (논현동)",127.0242904,37.50591
65r96k,시우성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 봉은사로 108, 8층 (역삼동)",127.0256122,37.5045463
hub2rt,시원성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 19, 한익빌딩 2층 (신사동)",127.0278655,37.5252721
soyg9z,시즈의원,서울,강남구,청담동,"서울특별시 강남구 도산대로57길 24, 2층 (청담동)",127.0417755,37.5252561
qyahul,시크릿성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 372, (역삼동, 화인타워 4층)",127.029122,37.4960271
wjtiqw,시크릿의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 458, 남영빌딩 5층 (역삼동)",127.0254743,37.5034185
nrhzn4,신내과의원,서울,강남구,논현동,"서울특별시 강남구 학동로 342, 408호 (논현동)",127.0408461,37.5167495
kgeuid,신논현톡스앤필의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 484, HK빌딩 2,3층 (논현동)",127.0243961,37.5056299
jipnf8,신데렐라신사점성형외과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 157, 신웅타워2 2층 (신사동)",127.0256588,37.519033
f3gr94,신사넘버파이브의원,서울,강남구,신사동,"서울특별시 강남구 압구정로30길 16, 아크힐즈 16, 7층 (신사동)",127.0290645,37.5264419
sz2kuu,신사디온의원,서울,강남구,신사동,"서울특별시 강남구 강남대로 624, ICT TOWER 9층 (신사동)",127.0195523,37.5174876
oyc3rw,신사루비의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 119, 14층 (신사동)",127.0214762,37.5173225
qmmu7j,신사마취통증의학과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 121, 3층 301호 (역삼동, 원빌딩)",127.0310754,37.499421
ae58hu,신사멜로우피부과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 138, 에스알빌딩 12층 (논현동)",127.0238282,37.5174754
xg2myr,신사세레아의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 150, 지하2층 (논현동)",127.0251328,37.5179737
06nkwf,신사엘성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 598, 보림빌딩 3,4층 (논현동)",127.0203715,37.5151992
g3mwu4,신사인피부과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 107, 신용호타워 11층 (신사동)",127.0201484,37.5168631
cfilkj,신상성형외과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 150, 3층,4층(건물상 표기 5층,6층) (논현동)",127.0251328,37.5179737
xjq5nv,신소애여성의원,서울,강남구,역삼동,"서울특별시 강남구 논현로 537, B2층, 2~5층 (역삼동)",127.0349625,37.5042574
8oga0x,신우신경외과재활의학과의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 318, SB타워 5층 (논현동)",127.0368945,37.521843
7zcgdc,신유외과의원,서울,강남구,도곡동,"서울특별시 강남구 강남대로 256, 2층 (도곡동, 대우양재디오빌)",127.0335456,37.4864916
5tao1c,신학철피부과의원,서울,강남구,대치동,"서울특별시 강남구 삼성로 418, 1~3층 (대치동)",127.0582437,37.504416
jfx5li,실루엣성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 156, (신사동, 카로시티2 301,302,303호)",127.0267906,37.5259818
kwe4bx,심포니성형외과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 165, 신사힐 2층 4층 (신사동)",127.0266458,37.5195007
4lr9tj,썸의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 122, 에메랄드타워 3층 (논현동)",127.0221405,37.516854
q8zgvw,씨비케이성형외과의원,서울,강남구,논현동,"서울특별시 강남구 봉은사로 209, 7층 (논현동)",127.0350285,37.5079353
wusxlm,씨앤피차앤박피부과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 168, 4층 (신사동)",127.0280007,37.5266292
t2pnjk,아니다웰니스의원,서울,강남구,논현동,"서울특별시 강남구 선릉로 629, 지하1층, 지상3층, 5층, 6층, 7층 (논현동)",127.0426382,37.5127294
a34mqa,아르나의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 170, 관영빌딩 3층 (신사동)",127.0281253,37.5267612
78rapk,아르노피부과의원,서울,강남구,신사동,"서울특별시 강남구 언주로 807, 소촌빌딩 4층 (신사동)",127.0331132,37.5224399
ianouo,아르뜨의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 104, 1st Avenue 15층 (논현동)",127.0203412,37.5160775
f0onjp,아르케의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 334, (역삼동, 에셈타워 5층일부)",127.0304818,37.4929925
i163yk,아름다운나라피부과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 390, (역삼동, 1201호 일부)",127.028709,37.497901
03o4gk,아름라인의원,서울,강남구,신사동,"서울특별시 강남구 선릉로 817, 캠포츠빌딩 4층 (신사동)",127.0394312,37.525089
wwjwga,아몬드성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 834, 윤성빌딩 B1,3,4층 (신사동)",127.0285887,37.5228353
